state,city,police_department,police_killings_2013,police_killings_2014,police_killings_2015,police_killings_2016,black_people_killed_by_police_2016,total_killings_2013-16,black_people_killed_by_police_2013-2016,unarmed_killings,percent_unarmed,police_killings_2013_rate,police_killings_2014_rate,police_killings_2015_rate,police_killings_2016_rate,avg_rate,total,black,white,amer_indian,asian,hawaiian,asian/pacific_islander,other,two_or_more_races,hispanic,population,violent_crime,murder_and_nonnegligent_manslaughter,violent_crime_rate,murder_rate,total_police_homicide_rate_average_annual_rate,total_police_homicide_rate_for_black_people_average_annual_rate,black-white_dissimilarity_2010,percent_of_killings_black_2016,number_of_restrictive_use_of_force_policies_as_of_2016
Oklahoma,Tulsa,Tulsa Police Department,1,4,1,8,2,14,4,6,43%,2.55,10.21,2.55,20.41,8.93,"391,906","61,230","227,021","19,473","8,926",278,9204,473,"19,239","55,266","399,556","3,217",46,8.1,11.5,8.9,16.3,49.79,25,3
Virginia,Virginia Beach,Virginia Beach Police Department,1,0,2,0,0,3,2,1,33%,2.28,0.00,4.57,0.00,1.71,"437,994","83,210","282,470","1,349","26,312",602,26914,863,"14,201","28,987","451,102",660,17,1.5,3.8,1.7,6.0,36.36,#DIV/0!,3
District of Columbia,Washington,DC Metropolitan Police Department,4,4,2,4,4,14,13,3,21%,6.65,6.65,3.32,6.65,5.82,"601,723","301,053","209,464","1,322","20,818",216,21034,"1,451","12,650","54,749","658,893","7,810",105,11.9,15.9,5.8,10.8,72.18,100,6
Kansas,Wichita,Wichita Police Department,2,3,2,0,0,7,1,1,14%,5.23,7.85,5.23,0.00,4.58,"382,368","42,676","246,744","3,424","18,272",311,18583,472,"12,121","58,348","386,486","3,065",15,7.9,3.9,4.6,5.9,49.27,#DIV/0!,2
United States,Big Cities,Big Cities,288,272,272,232,104,1064,426,190,18%,5.59,5.28,5.28,4.50,5.16,"51,517,737","10,684,271","1,483,111",0.029,,,,,,,"3,988,960","28,519",421,7.1,10.6,5.2,10.0,,44.82758621,
United States,Nationwide,Nationwide,1122,1167,1209,1155,309,4653,1274,816,,,,,,,"323,127,513","42,975,959","199,046,548",,,,,,,,"323,127,513",,,3.7,4.5,3.6,7.4,,26.75324675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
