summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
4,27-1026,Merchandise Displayers and Window Trimmers,530,530,0,0,10,0,10,41140,39260,28930,47250,High school diploma or equivalent,None,Moderate-term on-the-job training
4,27-1027,Set and Exhibit Designers,200,200,0,0,10,0,10,n/a,n/a,n/a,n/a,Bachelor's degree,None,None
4,27-1029,"Designers, All Other",250,250,0,0,10,0,10,n/a,n/a,n/a,n/a,Bachelor's degree,None,None
3,27-2000,"Entertainers and Performers, Sports and Related Workers",6360,6500,140,0.022012579,250,70,180,n/a,n/a,n/a,n/a, , , 
4,27-2012,Producers and Directors,1180,1240,60,0.050847458,70,30,40,116170,86000,55080,146710,Bachelor's degree,Less than 5 years,None
4,27-2022,Coaches and Scouts,1660,1720,60,0.036144578,80,30,50,45670,37780,25810,55600,Bachelor's degree,None,None
4,27-2041,Music Directors and Composers,920,920,0,0,20,0,20,78440,82600,42420,96440,Bachelor's degree,Less than 5 years,None
4,27-2042,Musicians and Singers,1360,1380,20,0.014705882,50,10,40,n/a,n/a,n/a,n/a,High school diploma or equivalent,None,Long-term on-the-job training
3,27-3000,Media and Communication Workers,5740,5720,-20,-0.003484321,140,30,110,n/a,n/a,n/a,n/a, , , 
4,27-3012,Public Address System and Other Announcers,410,420,10,0.024390244,20,10,10,29020,26760,21790,32640,High school diploma or equivalent,None,Short-term on-the-job training
4,27-3022,Reporters and Correspondents,480,440,-40,-0.083333333,20,0,20,40720,38500,25940,48110,Bachelor's degree,None,None
4,27-3031,Public Relations Specialists,1380,1410,30,0.02173913,30,10,20,71800,67940,45410,84990,Bachelor's degree,None,None
4,27-3041,Editors,1400,1360,-40,-0.028571429,30,0,30,71860,58610,34930,90330,Bachelor's degree,Less than 5 years,None
4,27-3042,Technical Writers,190,190,0,0,10,0,10,77550,78590,48690,91980,Bachelor's degree,Less than 5 years,Short-term on-the-job training
4,27-3043,Writers and Authors,1170,1160,-10,-0.008547009,20,0,20,57430,50570,30110,71090,Bachelor's degree,None,Moderate-term on-the-job training
4,27-3091,Interpreters and Translators,260,270,10,0.038461538,10,10,0,57000,54950,35080,67970,Bachelor's degree,None,Short-term on-the-job training
4,27-3099,"Media and Communication Workers, All Other",200,200,0,0,0,0,0,42560,31880,27260,50210,High school diploma or equivalent,None,Short-term on-the-job training
3,27-4000,Media and Communication Equipment Workers,1600,1630,30,0.01875,40,20,20,n/a,n/a,n/a,n/a, , , 
4,27-4011,Audio and Video Equipment Technicians,620,640,20,0.032258065,20,10,10,51170,43930,26730,63390,Postsecondary non-degree award,None,Short-term on-the-job training
4,27-4021,Photographers,660,660,0,0,10,0,10,45140,40280,17290,59060,High school diploma or equivalent,None,Long-term on-the-job training
2,29-0000,Healthcare Practitioners and Technical Occupations,58300,60220,1920,0.032933105,2060,960,1100,87500,74430,45110,108690, , , 
3,29-1000,Health Diagnosing and Treating Practitioners,39670,40910,1240,0.031257877,1360,620,740,n/a,n/a,n/a,n/a, , , 
4,29-1011,Chiropractors,320,330,10,0.03125,10,0,10,77850,71170,58400,87570,Doctoral or professional degree,None,None
4,29-1021,"Dentists, General",1410,1430,20,0.014184397,40,10,30,153850,121890,106430,177560,Doctoral or professional degree,None,None
4,29-1023,Orthodontists,100,100,0,0,0,0,0,165690,160960,114960,">$187,200",Doctoral or professional degree,None,Internship/residency
4,29-1031,Dietitians and Nutritionists,730,760,30,0.04109589,20,10,10,66240,66030,49170,74780,Bachelor's degree,None,Internship/residency
4,29-1041,Optometrists,460,480,20,0.043478261,20,10,10,105140,102790,77320,119050,Doctoral or professional degree,None,None
4,29-1051,Pharmacists,1660,1690,30,0.018072289,50,10,40,120230,126450,95530,132580,Doctoral or professional degree,None,None
4,29-1062,Family and General Practitioners,530,550,20,0.037735849,20,10,10,216230,">$187,200",132830,n/a,Doctoral or professional degree,None,Internship/residency
4,29-1064,Obstetricians and Gynecologists,200,210,10,0.05,0,0,0,195510,">$187,200",106940,">$187,200",Doctoral or professional degree,None,Internship/residency
4,29-1065,"Pediatricians, General",330,340,10,0.03030303,20,10,10,191540,177350,128700,">$187,200",Doctoral or professional degree,None,Internship/residency
4,29-1066,Psychiatrists,540,540,0,0,10,0,10,168810,167030,108570,">$187,200",Doctoral or professional degree,None,Internship/residency
4,29-1069,"Physicians and Surgeons, All Other",4330,4460,130,0.030023095,160,60,100,199500,">$187,200",114270,">$187,200",Doctoral or professional degree,None,Internship/residency
4,29-1071,Physician Assistants,880,940,60,0.068181818,40,30,10,96810,94340,83450,103490,Master's degree,None,None
4,29-1122,Occupational Therapists,1140,1170,30,0.026315789,30,20,10,83450,80450,59910,95220,Master's degree,None,None
4,29-1123,Physical Therapists,1840,1950,110,0.059782609,90,50,40,85800,86420,64910,96250,Doctoral or professional degree,None,None
4,29-1125,Recreational Therapists,360,360,0,0,10,0,10,50390,48900,33280,58940,Bachelor's degree,None,None
4,29-1126,Respiratory Therapists,730,750,20,0.02739726,20,10,10,68130,69890,56450,73970,Associate's degree,None,None
4,29-1127,Speech-Language Pathologists,1480,1510,30,0.02027027,40,20,20,86160,82620,59630,99430,Master's degree,None,None
4,29-1128,Exercise Physiologists,140,140,0,0,0,0,0,68730,68380,44210,80980,Bachelor's degree,None,None
4,29-1129,"Therapists, All Other",200,210,10,0.05,0,0,0,62320,55640,43950,71500,Bachelor's degree,None,None
4,29-1131,Veterinarians,720,730,10,0.013888889,30,10,20,129050,121950,80260,153450,Doctoral or professional degree,None,None
4,29-1141,Registered Nurses,17770,18320,550,0.030951041,570,270,300,77810,76470,58430,87500,Associate's degree,None,None
4,29-1171,Nurse Practitioners,910,960,50,0.054945055,40,20,20,98500,100100,75310,110100,Master's degree,None,None
3,29-2000,Health Technologists and Technicians,18050,18720,670,0.037119114,670,330,340,n/a,n/a,n/a,n/a, , , 
4,29-2011,Medical and Clinical Laboratory Technologists,710,710,0,0,20,0,20,69140,69220,55060,76180,Bachelor's degree,None,None
4,29-2012,Medical and Clinical Laboratory Technicians,730,760,30,0.04109589,40,20,20,49520,48050,35400,56580,Associate's degree,None,None
4,29-2021,Dental Hygienists,1350,1390,40,0.02962963,50,20,30,88310,88890,70670,97140,Associate's degree,None,None
4,29-2031,Cardiovascular Technologists and Technicians,420,440,20,0.047619048,20,10,10,56040,56170,40530,63800,Associate's degree,None,None
4,29-2032,Diagnostic Medical Sonographers,560,600,40,0.071428571,30,20,10,68600,68750,53030,76380,Associate's degree,None,None
4,29-2033,Nuclear Medicine Technologists,130,130,0,0,0,0,0,86050,86620,71090,93530,Associate's degree,None,None
4,29-2034,Radiologic Technologists,1190,1220,30,0.025210084,20,10,10,68560,68750,55200,75240,Associate's degree,None,None
4,29-2035,Magnetic Resonance Imaging Technologists,110,110,0,0,0,0,0,79270,80370,64840,86490,Associate's degree,Less than 5 years,None
4,29-2041,Emergency Medical Technicians and Paramedics,1530,1590,60,0.039215686,70,30,40,37290,37440,25380,43240,Postsecondary non-degree award,None,None
4,29-2052,Pharmacy Technicians,1270,1300,30,0.023622047,20,10,10,31160,29290,22720,35380,High school diploma or equivalent,None,Moderate-term on-the-job training
4,29-2053,Psychiatric Technicians,370,370,0,0,0,0,0,41180,41890,26150,48700,Postsecondary non-degree award,None,Short-term on-the-job training
4,29-2055,Surgical Technologists,520,540,20,0.038461538,10,10,0,47940,47250,33800,55010,Postsecondary non-degree award,None,None
4,29-2056,Veterinary Technologists and Technicians,520,540,20,0.038461538,10,10,0,45120,44410,34440,50460,Associate's degree,None,None
4,29-2057,Ophthalmic Medical Technicians,150,160,10,0.066666667,0,0,0,38520,36570,28030,43770,Postsecondary non-degree award,None,None
4,29-2061,Licensed Practical and Licensed Vocational Nurses,6490,6800,310,0.047765794,310,160,150,48170,47680,38060,53220,Postsecondary non-degree award,None,None
4,29-2071,Medical Records and Health Information Technicians,1000,1030,30,0.03,40,20,20,40350,37500,27750,46650,Postsecondary non-degree award,None,None
4,29-2081,"Opticians, Dispensing",390,400,10,0.025641026,20,10,10,49730,48220,41050,54070,High school diploma or equivalent,None,Long-term on-the-job training
4,29-2099,"Health Technologists and Technicians, All Other",420,430,10,0.023809524,10,10,0,47690,42910,32080,55500,High school diploma or equivalent,None,None
3,29-9000,Other Healthcare Practitioners and Technical Occupations,580,590,10,0.017241379,10,0,10,n/a,n/a,n/a,n/a, , , 
4,29-9011,Occupational Health and Safety Specialists,340,340,0,0,10,0,10,77270,73840,60430,85700,Bachelor's degree,None,Short-term on-the-job training
4,29-9099,"Healthcare Practitioners and Technical Workers, All Other",130,130,0,0,0,0,0,78660,80310,55750,90110,Bachelor's degree,None,None
2,31-0000,Healthcare Support Occupations,33020,34540,1520,0.046032707,1340,760,580,32320,31600,22480,37240, , , 
3,31-1000,"Nursing, Psychiatric, and Home Health Aides",23070,24270,1200,0.052015605,1000,600,400,n/a,n/a,n/a,n/a, , , 
4,31-1011,Home Health Aides,10100,11020,920,0.091089109,640,460,180,24690,23730,18030,28020,Less than high school,None,Short-term on-the-job training
4,31-1013,Psychiatric Aides,1590,1600,10,0.006289308,30,0,30,38850,38440,30560,42990,High school diploma or equivalent,None,Short-term on-the-job training
4,31-1014,Nursing Assistants,11160,11430,270,0.024193548,340,140,200,32770,33180,25970,36180,Postsecondary non-degree award,None,None
4,31-1015,Orderlies,220,220,0,0,0,0,0,32400,33310,26810,35190,High school diploma or equivalent,None,Short-term on-the-job training
3,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,1470,1540,70,0.047619048,70,40,30,n/a,n/a,n/a,n/a, , , 
4,31-2011,Occupational Therapy Assistants,510,530,20,0.039215686,20,10,10,57420,58960,42970,64640,Associate's degree,None,None
4,31-2021,Physical Therapist Assistants,450,470,20,0.044444444,20,10,10,53770,54330,39660,60830,Associate's degree,None,None
4,31-2022,Physical Therapist Aides,470,500,30,0.063829787,20,10,10,28720,28840,20570,32800,High school diploma or equivalent,None,Short-term on-the-job training
3,31-9000,Other Healthcare Support Occupations,8480,8730,250,0.029481132,280,130,150,n/a,n/a,n/a,n/a, , , 
4,31-9011,Massage Therapists,330,340,10,0.03030303,10,10,0,52290,43520,24260,66310,Postsecondary non-degree award,None,None
4,31-9091,Dental Assistants,2160,2200,40,0.018518519,60,20,40,38860,37440,29150,43720,Postsecondary non-degree award,None,None
4,31-9092,Medical Assistants,2470,2580,110,0.044534413,100,60,40,35560,35130,26240,40220,Postsecondary non-degree award,None,None
4,31-9095,Pharmacy Aides,230,240,10,0.043478261,10,10,0,25170,23950,17150,29180,High school diploma or equivalent,None,Short-term on-the-job training
4,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,850,860,10,0.011764706,20,10,10,31490,31880,21130,36670,High school diploma or equivalent,None,Short-term on-the-job training
4,31-9097,Phlebotomists,550,560,10,0.018181818,20,10,10,38900,39090,30460,43130,Postsecondary non-degree award,None,None
4,31-9099,"Healthcare Support Workers, All Other",1000,1020,20,0.02,30,10,20,36520,35740,28570,40490,High school diploma or equivalent,None,None
2,33-0000,Protective Service Occupations,34380,34760,380,0.011052938,1120,220,900,52050,46520,23660,66250, , , 
3,33-1000,Supervisors of Protective Service Workers,3240,3240,0,0,110,10,100,n/a,n/a,n/a,n/a, , , 
4,33-1011,First-Line Supervisors of Correctional Officers,720,720,0,0,20,0,20,80370,80290,66590,87260,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,33-1012,First-Line Supervisors of Police and Detectives,1470,1470,0,0,50,0,50,106470,106800,77140,121140,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,470,470,0,0,20,0,20,102120,105980,71240,117560,Postsecondary non-degree award,Less than 5 years,Moderate-term on-the-job training
4,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",580,590,10,0.017241379,20,10,10,57850,54900,39420,67060,High school diploma or equivalent,Less than 5 years,None
3,33-2000,Fire Fighting and Prevention Workers,1740,1740,0,0,40,0,40,n/a,n/a,n/a,n/a, , , 
4,33-2011,Firefighters,1600,1600,0,0,40,0,40,74470,80170,55400,84010,Postsecondary non-degree award,None,Long-term on-the-job training
3,33-3000,Law Enforcement Workers,14560,14490,-70,-0.004807692,400,0,400,n/a,n/a,n/a,n/a, , , 
4,33-3011,Bailiffs,400,400,0,0,10,0,10,54960,62090,35000,64940,High school diploma or equivalent,None,Moderate-term on-the-job training
4,33-3012,Correctional Officers and Jailers,6950,6900,-50,-0.007194245,180,0,180,57560,55870,47080,62800,High school diploma or equivalent,None,Moderate-term on-the-job training
4,33-3021,Detectives and Criminal Investigators,930,930,0,0,20,0,20,101340,104010,75970,114020,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,33-3041,Parking Enforcement Workers,220,210,-10,-0.045454545,10,0,10,42980,41180,29240,49850,High school diploma or equivalent,None,Short-term on-the-job training
4,33-3051,Police and Sheriff's Patrol Officers,6030,6030,0,0,190,0,190,73270,77380,46270,86770,High school diploma or equivalent,None,Moderate-term on-the-job training
3,33-9000,Other Protective Service Workers,14850,15290,440,0.02962963,580,220,360,n/a,n/a,n/a,n/a, , , 
4,33-9011,Animal Control Workers,150,150,0,0,0,0,0,37620,33920,24540,44160,High school diploma or equivalent,None,Moderate-term on-the-job training
4,33-9021,Private Detectives and Investigators,220,230,10,0.045454545,10,0,10,54670,63100,32540,65740,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,33-9032,Security Guards,11770,12150,380,0.032285472,360,190,170,27720,24720,20320,31420,High school diploma or equivalent,None,Short-term on-the-job training
4,33-9091,Crossing Guards,970,980,10,0.010309278,20,10,10,30500,29230,20760,35360,High school diploma or equivalent,None,Short-term on-the-job training
4,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",850,870,20,0.023529412,100,10,90,23100,21880,17170,26060,High school diploma or equivalent,None,Short-term on-the-job training
4,33-9099,"Protective Service Workers, All Other",670,690,20,0.029850746,80,10,70,31510,30370,22280,36130,High school diploma or equivalent,None,Short-term on-the-job training
2,35-0000,Food Preparation and Serving Related Occupations,72240,76040,3800,0.052602436,5100,1900,3200,24140,19920,16900,27760, , , 
3,35-1000,Supervisors of Food Preparation and Serving Workers,5700,6010,310,0.054385965,320,160,160,n/a,n/a,n/a,n/a, , , 
4,35-1011,Chefs and Head Cooks,930,970,40,0.043010753,30,20,10,59440,56240,40630,68850,High school diploma or equivalent,5 years or more,None
4,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,4760,5040,280,0.058823529,280,140,140,40460,39420,27910,46740,High school diploma or equivalent,Less than 5 years,None
3,35-2000,Cooks and Food Preparation Workers,16780,17530,750,0.044696067,780,380,400,n/a,n/a,n/a,n/a, , , 
4,35-2011,"Cooks, Fast Food",1970,2050,80,0.040609137,80,40,40,20530,20450,16890,22350,Less than high school,None,Short-term on-the-job training
4,35-2012,"Cooks, Institution and Cafeteria",2250,2320,70,0.031111111,90,40,50,36580,35030,24820,42470,Less than high school,None,Short-term on-the-job training
4,35-2014,"Cooks, Restaurant",5910,6320,410,0.069373942,320,200,120,29260,27610,20330,33730,Less than high school,Less than 5 years,Moderate-term on-the-job training
4,35-2015,"Cooks, Short Order",1210,1260,50,0.041322314,40,20,20,26920,27020,22010,29380,Less than high school,None,Short-term on-the-job training
4,35-2021,Food Preparation Workers,5120,5280,160,0.03125,250,80,170,24620,23490,18620,27620,Less than high school,None,Short-term on-the-job training
3,35-3000,Food and Beverage Serving Workers,41350,43660,2310,0.055864571,3240,1160,2080,n/a,n/a,n/a,n/a, , , 
4,35-3011,Bartenders,2690,2850,160,0.059479554,180,80,100,20310,18370,16890,22030,Less than high school,None,Short-term on-the-job training
4,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",18380,19580,1200,0.065288357,1480,600,880,19660,18500,16870,21060,Less than high school,None,Short-term on-the-job training
4,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2220,2290,70,0.031531532,250,40,210,21680,18980,17040,23990,Less than high school,None,Short-term on-the-job training
4,35-3031,Waiters and Waitresses,16110,16920,810,0.05027933,1240,400,840,21340,18680,16900,23560,Less than high school,None,Short-term on-the-job training
4,35-3041,"Food Servers, Nonrestaurant",1950,2030,80,0.041025641,100,40,60,29130,29020,19610,33890,Less than high school,None,Short-term on-the-job training
3,35-9000,Other Food Preparation and Serving Related Workers,8420,8840,420,0.049881235,770,210,560,n/a,n/a,n/a,n/a, , , 
4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,3400,3570,170,0.05,270,80,190,19270,17980,16830,20490,Less than high school,None,Short-term on-the-job training
4,35-9021,Dishwashers,3340,3500,160,0.047904192,270,80,190,19390,18470,16840,20660,Less than high school,None,Short-term on-the-job training
2,37-0000,Building and Grounds Cleaning and Maintenance Occupations,48190,49580,1390,0.028844159,1620,700,920,32630,29900,20070,38910, , , 
3,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,3230,3320,90,0.027863777,90,40,50,n/a,n/a,n/a,n/a, , , 
4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,1890,1940,50,0.026455026,60,20,40,50340,49300,32810,59110,High school diploma or equivalent,Less than 5 years,None
4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1340,1380,40,0.029850746,30,20,10,48420,43800,32680,56290,High school diploma or equivalent,Less than 5 years,None
3,37-2000,Building Cleaning and Pest Control Workers,33670,34590,920,0.027324027,1050,460,590,n/a,n/a,n/a,n/a, , , 
4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",21880,22520,640,0.029250457,690,320,370,31190,28730,19480,37040,Less than high school,None,Short-term on-the-job training
