summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
4,47-2152,"Plumbers, Pipefitters, and Steamfitters",2870,3050,180,0.06271777,130,90,40,67230,67140,40490,80590,High school diploma or equivalent,None,Apprenticeship
4,47-2171,Reinforcing Iron and Rebar Workers,200,210,10,0.05,10,10,0,80930,84480,74340,84220,High school diploma or equivalent,None,Apprenticeship
4,47-2181,Roofers,450,470,20,0.044444444,20,10,10,53600,52800,35940,62430,Less than high school,None,Moderate-term on-the-job training
4,47-2221,Structural Iron and Steel Workers,520,550,30,0.057692308,40,20,20,84800,83210,56980,98710,High school diploma or equivalent,None,Apprenticeship
3,47-3000,"Helpers, Construction Trades",1760,1870,110,0.0625,90,60,30,n/a,n/a,n/a,n/a, , , 
4,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",110,120,10,0.090909091,10,10,0,28720,28470,27040,29570,Less than high school,None,Short-term on-the-job training
4,47-3012,Helpers--Carpenters,720,760,40,0.055555556,30,20,10,32290,33300,20460,38200,Less than high school,None,Short-term on-the-job training
4,47-3013,Helpers--Electricians,320,350,30,0.09375,20,10,10,38750,38770,26100,45080,High school diploma or equivalent,None,Short-term on-the-job training
4,47-3016,Helpers--Roofers,170,180,10,0.058823529,0,0,0,25300,23670,22250,26830,Less than high school,None,Short-term on-the-job training
3,47-4000,Other Construction and Related Workers,4610,4690,80,0.017353579,110,40,70,n/a,n/a,n/a,n/a, , , 
4,47-4011,Construction and Building Inspectors,860,870,10,0.011627907,30,10,20,63440,61910,38710,75810,High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
4,47-4031,Fence Erectors,520,560,40,0.076923077,30,20,10,44040,43860,32770,49680,High school diploma or equivalent,None,Moderate-term on-the-job training
4,47-4051,Highway Maintenance Workers,2610,2610,0,0,30,0,30,50590,49660,37450,57150,High school diploma or equivalent,None,Moderate-term on-the-job training
4,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,180,190,10,0.055555556,0,0,0,45590,43230,30600,53090,Less than high school,None,Moderate-term on-the-job training
2,49-0000,"Installation, Maintenance, and Repair Occupations",37750,38510,760,0.02013245,1210,400,810,50800,47130,28380,62010, , , 
3,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",2390,2430,40,0.016736402,80,20,60,n/a,n/a,n/a,n/a, , , 
